command,entity,field,metric,perftype,tsidxnamespace
latest,hostsystem,"p_latest_rescpu_runav15_percent","latest_rescpu_runav15_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_runav1_percent","latest_rescpu_runav1_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_runav5_percent","latest_rescpu_runav5_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_runpk15_percent","latest_rescpu_runpk15_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_runpk1_percent","latest_rescpu_runpk1_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_runpk5_percent","latest_rescpu_runpk5_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_sampleCount_number","latest_rescpu_sampleCount_number",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_samplePeriod_millisecond","latest_rescpu_samplePeriod_millisecond",rescpu,"vmw_perf_rescpu_hostsystem"
average,hostsystem,"p_average_hbr_hbrNetRx_kiloBytesPerSecond","average_hbr_hbrNetRx_kiloBytesPerSecond",hbr,"vmw_perf_hbr_hostsystem"
average,hostsystem,"p_average_hbr_hbrNetTx_kiloBytesPerSecond","average_hbr_hbrNetTx_kiloBytesPerSecond",hbr,"vmw_perf_hbr_hostsystem"
average,hostsystem,"p_average_hbr_hbrNumVms_number","average_hbr_hbrNumVms_number",hbr,"vmw_perf_hbr_hostsystem"
latest,hostsystem,"p_latest_storageAdapter_maxTotalLatency_millisecond","latest_storageAdapter_maxTotalLatency_millisecond",storageadpater,"vmw_perf_storageadpater_hostsystem"
latest,hostsystem,"p_latest_storagePath_maxTotalLatency_millisecond","latest_storagePath_maxTotalLatency_millisecond",storagepath,"vmw_perf_storagepath_hostsystem"
latest,hostsystem,"p_latest_sys_uptime_second","latest_sys_uptime_second",sys,"vmw_perf_sys_hostsystem"
uptime,hostsystem,"p_uptime",uptime,sys,"vmw_perf_sys_hostsystem"
average,virtualmachine,"p_average_cpu_coreUtilization_percent","average_cpu_coreUtilization_percent",cpu,"vmw_perf_cpu_virtualmachine"
average,virtualmachine,"p_average_cpu_demand_megaHertz","average_cpu_demand_megaHertz",cpu,"vmw_perf_cpu_virtualmachine"
average,virtualmachine,"p_average_cpu_latency_percent","average_cpu_latency_percent",cpu,"vmw_perf_cpu_virtualmachine"
average,virtualmachine,"p_average_cpu_reservedCapacity_megaHertz","average_cpu_reservedCapacity_megaHertz",cpu,"vmw_perf_cpu_virtualmachine"
average,virtualmachine,"p_average_cpu_totalCapacity_megaHertz","average_cpu_totalCapacity_megaHertz",cpu,"vmw_perf_cpu_virtualmachine"
average,virtualmachine,"p_average_cpu_usage_percent","average_cpu_usage_percent",cpu,"vmw_perf_cpu_virtualmachine"
average,virtualmachine,"p_average_cpu_usagemhz_megaHertz","average_cpu_usagemhz_megaHertz",cpu,"vmw_perf_cpu_virtualmachine"
average,virtualmachine,"p_average_cpu_utilization_percent","average_cpu_utilization_percent",cpu,"vmw_perf_cpu_virtualmachine"
latest,virtualmachine,"p_latest_cpu_entitlement_megaHertz","latest_cpu_entitlement_megaHertz",cpu,"vmw_perf_cpu_virtualmachine"
summation,virtualmachine,"p_summation_cpu_costop_millisecond","summation_cpu_costop_millisecond",cpu,"vmw_perf_cpu_virtualmachine"
